Code IRIS;Nom IRIS;Code Commune;Nom Commune;Taux de motorisation IRIS;Taux de motorisation Commune;Taux de motorisation Département
010010000;L'Abergement-Clémenciat;01001;L'Abergement-Clémenciat;0,963576;0,963576;0,903721
641780000;Castetnau-Camblong;64178;Castetnau-Camblong;0,946524;0,946524;0,873729
641530000;Burosse-Mendousse;64153;Burosse-Mendousse;1;1;0,873729
641540000;Bussunarits-Sarrasquette;64154;Bussunarits-Sarrasquette;0,969697;0,969697;0,873729
641550000;Bustince-Iriberry;64155;Bustince-Iriberry;0,944444;0,944444;0,873729
641560000;Buziet;64156;Buziet;0,920904;0,920904;0,873729
641570000;Buzy;64157;Buzy;0,944304;0,944304;0,873729
641580000;Cabidos;64158;Cabidos;0,941176;0,941176;0,873729
641590000;Cadillon;64159;Cadillon;1;1;0,873729
641600000;Cambo-les-Bains;64160;Cambo-les-Bains;0,883025;0,883025;0,873729
641610000;Came;64161;Came;0,938235;0,938235;0,873729
641620000;Camou-Cihigue;64162;Camou-Cihigue;0,925;0,925;0,873729
641650000;Cardesse;64165;Cardesse;0,963303;0,963303;0,873729
641660000;Caro;64166;Caro;0,959459;0,959459;0,873729
641670000;Carrère;64167;Carrère;0,938272;0,938272;0,873729
641680000;Carresse-Cassaber;64168;Carresse-Cassaber;0,913973;0,913973;0,873729
641700000;Castagnède;64170;Castagnède;0,967742;0,967742;0,873729
641710000;Casteide-Cami;64171;Casteide-Cami;0,97561;0,97561;0,873729
641720000;Casteide-Candau;64172;Casteide-Candau;0,94186;0,94186;0,873729
641730000;Casteide-Doat;64173;Casteide-Doat;0,982143;0,982143;0,873729
641740000;Castéra-Loubix;64174;Castéra-Loubix;0,866667;0,866667;0,873729
641750000;Castet;64175;Castet;0,914286;0,914286;0,873729
641760000;Castetbon;64176;Castetbon;0,986301;0,986301;0,873729
641520000;Buros;64152;Buros;0,990741;0,990741;0,873729
641510000;Burgaronne;64151;Burgaronne;0,95;0,95;0,873729
641500000;Bunus;64150;Bunus;1;1;0,873729
641400101;Boucau / Couronne Boisee;64140;Boucau;0,914501;0,90349;0,873729
641310000;Biron;64131;Biron;0,977578;0,977578;0,873729
641320000;Bizanos;64132;Bizanos;0,898253;0,898253;0,873729
641330000;Boeil-Bezing;64133;Boeil-Bezing;0,927521;0,927521;0,873729
641340000;Bonloc;64134;Bonloc;0,931507;0,931507;0,873729
641350000;Bonnut;64135;Bonnut;0,952703;0,952703;0,873729
641360000;Borce;64136;Borce;0,877193;0,877193;0,873729
641370000;Bordères;64137;Bordères;0,951807;0,951807;0,873729
641380000;Bordes;64138;Bordes;0,950098;0,950098;0,873729
641390000;Bosdarros;64139;Bosdarros;0,977387;0,977387;0,873729
641400102;Boucau / Haut Boucau;64140;Boucau;0,936968;0,90349;0,873729
641490000;Bugnein;64149;Bugnein;0,965116;0,965116;0,873729
641400103;Boucau / Bas Boucau;64140;Boucau;0,863182;0,90349;0,873729
641410000;Boueilh-Boueilho-Lasque;64141;Boueilh-Boueilho-Lasque;0,951724;0,951724;0,873729
641420000;Bougarber;64142;Bougarber;0,966102;0,966102;0,873729
641430000;Bouillon;64143;Bouillon;0,927273;0,927273;0,873729
641440000;Boumourt;64144;Boumourt;0,982456;0,982456;0,873729
641450000;Bourdettes;64145;Bourdettes;0,926554;0,926554;0,873729
641460000;Bournos;64146;Bournos;0,953846;0,953846;0,873729
