departement,region,nb_communes,nb_copros_total,lots_stat_total,nb_logements_total,taux_moto_moyen_pct,score_dept
93066,93066,1,396,5099,0,76.2,106.2
67482,67482,1,48,567,162246,62.5,100.7
59350,59350,1,296,3127,0,76.2,94.6
91228,91228,1,33,2615,0,76.2,91.6
57463,57463,1,32,899,70903,73.0,90.7
93001,93001,1,105,2417,0,76.2,90.4
63113,63113,1,9,349,91873,72.7,89.9
68224,68224,1,103,1319,58439,67.3,89.8
34172,34172,1,28,2291,0,76.2,89.6
69266,69266,1,11,397,89281,65.3,89.2
31555,31555,1,67,2183,0,76.2,89.0
66136,66136,1,82,578,73808,73.5,87.9
69029,69029,1,14,1167,19831,76.6,85.9
72181,72181,1,12,243,84192,76.2,85.7
44109,44109,1,44,1521,0,76.2,85.1
13203,13203,1,120,1516,0,76.2,85.1
54395,54395,1,31,238,71856,63.3,84.7
69388,69388,1,27,619,49135,65.2,84.5
93014,93014,1,6,1317,0,76.2,83.9
91286,91286,1,22,1304,0,76.2,83.8
