code_commune,ville,departement,region,nb_logements,nb_appartements,lots_stat_copro,places_publiques,copros_sans_stat,menages_motorises,menages_avec_parking,ratio_stat_par_logement,pct_motorises_sans_parking,profil_stationnement,index_partageabilite
68224,Mulhouse,68224,68224,58439,50028,1319,0,60,32489,18575,0.023,29.0,🔴 Forte tension — priorité demande,314.1
69029,Bron,69029,69029,19831,16491,1167,0,2,14114,11202,0.059,15.9,🔴 Forte tension — priorité demande,171.4
69256,Vaulx-en-Velin,69256,69256,20353,16418,1010,11,4,13531,10125,0.05,18.2,🔴 Forte tension — priorité demande,169.1
57463,Metz,57463,57463,70903,60466,899,9726,5,43467,32948,0.013,17.2,🔴 Forte tension — priorité demande,133.4
67482,Strasbourg,67482,67482,162246,149471,567,11554,28,86270,56248,0.003,21.4,🔴 Forte tension — priorité demande,104.9
66136,Perpignan,66136,66136,73808,54107,578,0,58,43671,31240,0.008,20.9,🔴 Forte tension — priorité demande,97.4
69389,Lyon 9e Arrondissement,69389,69389,30365,28567,636,0,2,16233,12018,0.021,16.4,🔴 Forte tension — priorité demande,88.3
59017,59017,59017,59017,12686,5645,280,450,2,8610,4732,0.022,33.9,🔴 Forte tension — priorité demande,85.6
69286,Rillieux-la-Pape,69286,69286,13137,9846,222,0,6,9514,5168,0.017,35.7,🔴 Forte tension — priorité demande,73.5
69199,Saint-Fons,69199,69199,8147,6797,246,0,0,5512,3327,0.03,28.8,🔴 Forte tension — priorité demande,66.0
69388,Lyon 8e Arrondissement,69388,69388,49135,46285,619,0,14,28209,23191,0.013,11.4,🔴 Forte tension — priorité demande,63.2
54395,Nancy,54395,54395,71856,63764,238,0,12,37862,24135,0.003,22.9,🔴 Forte tension — priorité demande,45.5
63113,Clermont-Ferrand,63113,63113,91873,75235,349,0,3,57276,46632,0.004,13.3,🔴 Forte tension — priorité demande,40.4
69259,Vénissieux,69259,69259,29813,25071,190,77,7,19132,13102,0.006,22.3,🔴 Forte tension — priorité demande,38.4
72181,72181,72181,72181,84192,48301,243,0,5,53886,41360,0.003,17.2,🔴 Forte tension — priorité demande,36.2
69264,Villefranche-sur-Saône,69264,69264,19597,16652,161,0,0,13447,9182,0.008,24.6,🔴 Forte tension — priorité demande,35.0
71270,Mâcon,71270,71270,19229,14834,112,0,1,13451,8197,0.006,31.1,🔴 Forte tension — priorité demande,30.6
69091,Givors,69091,69091,9113,6356,104,0,10,6626,3992,0.011,31.8,🔴 Forte tension — priorité demande,30.1
69266,Villeurbanne,69266,69266,89281,82362,397,468,3,48874,42411,0.004,8.2,🔴 Forte tension — priorité demande,28.7
68297,Saint-Louis,68297,68297,11735,8391,158,0,2,8499,6476,0.013,19.4,🔴 Forte tension — priorité demande,27.3
65440,Tarbes,65440,65440,30079,22619,153,0,4,18803,13733,0.005,20.3,🔴 Forte tension — priorité demande,25.8
69290,Saint-Priest,69290,69290,22429,16884,121,22,0,17099,12332,0.005,23.4,🔴 Forte tension — priorité demande,25.7
56260,Vannes,56260,56260,35375,24587,307,0,1,24114,21311,0.009,9.4,🔴 Forte tension — priorité demande,24.3
56121,Lorient,56121,56121,36656,27035,96,0,0,24138,15595,0.003,26.3,🔴 Forte tension — priorité demande,22.4
54547,Vandoeuvre-lès-Nancy,54547,54547,17243,14076,137,0,17,10390,7669,0.008,17.6,🔴 Forte tension — priorité demande,21.6
59183,59183,59183,59183,46825,27042,68,0,3,31288,19356,0.001,28.4,🔴 Forte tension — priorité demande,17.3
69096,Grigny,69096,69096,4258,2445,72,0,0,3581,2591,0.017,24.9,🔴 Forte tension — priorité demande,16.8
68376,Wittenheim,68376,68376,6785,2743,92,0,0,5691,4703,0.014,15.5,🔴 Forte tension — priorité demande,13.4
67180,Haguenau,67180,67180,18571,11227,221,0,0,14490,13390,0.012,6.6,🔴 Forte tension — priorité demande,13.1
69027,Brignais,69027,69027,5713,2950,95,0,0,4934,4233,0.017,12.9,🔴 Forte tension — priorité demande,11.7
54329,Lunéville,54329,54329,10601,6967,47,0,8,6639,4149,0.004,27.9,🔴 Forte tension — priorité demande,11.0
