code_commune,nb_copros,nb_lots_hab_total,nb_lots_stat_total,nb_copros_avec_stat,nb_copros_sans_stat,nb_logements,nb_res_principales,nb_res_secondaires,nb_logements_vacants,nb_maisons,nb_appartements,nb_res_princ_appart,nb_menages_avec_parking,nb_menages_avec_voiture,nb_menages_1voiture,nb_menages_2voitures,nb_menages,nb_proprietaires,nb_locataires,nom_commune,taux_moto,nb_parkings_publics,nb_places_publiques
04070,2,9,5,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,1.0,222.0
06029,2,85,30,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
06033,1,8,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
06054,5,392,384,5,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
06069,4,41,0,0,4,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
06088,8,312,262,5,3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,15.0,5619.0
06157,1,7,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,2.0,484.0
07019,2,27,0,0,2,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
07186,1,30,16,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
08409,1,25,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
09122,1,7,6,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
09225,2,31,13,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
10081,1,21,25,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
10323,1,30,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
